08/16/21,714,722,732,729,728,718
08/16/21,714,722,732,729,728,718
08/16/21,714,722,732,729,728,718
08/16/21,713,722,734,729,728,718
08/16/21,715,722,733,729,728,720
08/18/21,730,739,727,727,727,717
08/18/21,732,739,727,727,727,717
08/18/21,721,732,718,711,718,708
08/18/21,721,284,717,710,718,708
08/18/21,745,756,745,740,740,732
08/19/21,744,735,736,736,738,728
08/19/21,744,736,736,737,739,729
08/19/21,744,736,736,737,739,729
08/19/21,746,738,739,739,740,730
08/19/21,747,739,740,739,741,734
08/19/21,747,740,740,740,742,734
08/19/21,747,740,740,740,741,734
08/19/21,747,738,739,739,740,734
